lake	sa	samp	site	depth	repl	dish.bag.mass	dish.bag.OM	CPOM.ekman	CPOM
DP	5766	open	A	3.2	1	7.0536	7.4395	0.385899999999999	17.1511111111111
DP	5766	open	A	3.2	2	7.0629	7.7112	0.6483	28.8133333333333
DP	5766	open	B	3.1	1	7.0574	7.5408	0.4834	21.4844444444444
DP	5766	open	B	3.1	2	7.06	7.5414	0.481400000000001	21.3955555555556
DP	5766	open	C	1.9	1	7.0584	7.3178	0.2594	11.5288888888889
DP	5766	open	C	1.9	2	7.0614	7.2328	0.1714	7.61777777777779
DP	5766	lit	A	1.5	1	7.062	8.3886	1.3266	58.96
DP	5766	lit	A	1.5	2	7.0642	8.5745	1.5103	67.1244444444445
DP	5766	lit	B	0.9	1	7.1773	25.9545	18.7772	834.542222222222
DP	5766	lit	B	0.9	2	7.2978	53.8663	46.5685	2069.71111111111
DP	5766	lit	C	1.5	1	7.0605	9.0551	1.9946	88.6488888888889
DP	5766	lit	C	1.5	2	7.0561	8.3004	1.2443	55.3022222222222
