Lake	Sample	Site	Rep	Cruc_mass	Cruc_sed	Cruc_ash
DL	Open	A	1	13.066	13.1649	13.0731
DL	Open	A	2	12.2416	12.491	12.2588
DL	Open	B	1	12.9962	13.1823	13.0386
DL	Open	B	2	11.9882	12.1356	12.014
DL	Open	C	1	13.1347	13.2448	13.1881
DL	Open	C	2	12.636	12.7421	12.638
DL	Littoral	A	1	13.065	13.2283	13.0901
DL	Littoral	A	2	12.2414	12.4277	12.2943
DL	Littoral	B	1	12.9946	13.1946	13.0231
DL	Littoral	B	2	11.9891	12.4502	12.2124
DL	Littoral	C	1	12.1974	12.3038	12.2051
DL	Littoral	C	2	12.5996	12.6816	12.605
WC	Open	A	1	11.667	11.7528	11.6693
WC	Open	A	2	12.9362	12.9702	12.9381
WC	Open	B	1	11.8881	11.9901	11.8998
WC	Open	B	2	11.7819	11.9025	11.7901
WC	Open	C	1	13.1344	13.2419	13.1725
WC	Open	C	2	12.6367	12.8079	12.717
WC	Littoral	A	1	13.0674	13.1416	13.0769
WC	Littoral	A	2	12.2409	12.3338	12.2506
WC	Littoral	B	1	12.9977	13.1435	13.0369
WC	Littoral	B	2	11.9883	13.1653	12.0411
WC	Littoral	C	1	12.1974	12.4681	12.2671
WC	Littoral	C	2	12.5997	12.895	12.6718
LPP	Littoral	A	1	13.1324	14.2906	13.2501
LPP	Littoral	B	1	12.6352	13.7191	12.7528
LPP	Littoral	C	1	13.0656	13.951	13.1516
LPP	Open	A	1	12.2414	12.8805	12.2902
LPP	Open	B	1	12.9957	13.8358	13.0794
LPP	Open	C	1	11.9881	12.4456	12.0254
WL	Littoral	A	1	12.1975	12.4594	12.2302
WL	Littoral	B	1	12.5992	12.9492	12.6538
WL	Littoral	C	1	11.6667	11.9706	11.7319
WL	Shallow	B	1	12.9352	13.1875	13.0307
WL	Shallow	C	1	11.8886	12.1512	11.9597
WL	Open	A	1	11.7819	12.0806	11.9202
WL	Open	B	1	13.1348	13.2421	13.1487
WL	Open	C	1	12.6358	12.8822	12.7164
