lake	samp	site	depth	repl	dish.bag.mass	dish.bag.OM	CPOM.ekman	CPOM
WCP	open	A	2.2	1	7.0451	7.2934	0.2483	11.0355555555556
WCP	open	A	2.2	2	7.0563	7.1318	0.0754999999999999	3.35555555555555
WCP	open	B	1.6	1	7.0587	7.7317	0.673	29.9111111111111
WCP	open	B	1.6	2	7.0636	7.2219	0.1583	7.03555555555554
WCP	open	C	1.4	1	7.0699	7.2741	0.2042	9.07555555555556
WCP	open	C	1.4	2	7.064	7.4561	0.3921	17.4266666666667
WCP	lit	A	1.3	1	7.0589	7.3095	0.250599999999999	11.1377777777778
WCP	lit	A	1.3	2	7.0539	NA	NA	NA
WCP	lit	B	0.6	1	7.0573	NA	NA	NA
WCP	lit	B	0.6	2	7.0575	NA	NA	NA
WCP	lit	C	1.2	1	7.0568	NA	NA	NA
WCP	lit	C	1.2	2	7.0551	NA	NA	NA
