lake	sa	samp	site	depth	repl	dish.bag.mass	dish.bag.OM	CPOM.ekman	CPOM
WCP	3230	open	A	2.2	1	7.0451	7.2934	0.2483	11.0355555555556
WCP	3230	open	A	2.2	2	7.0563	7.1318	0.0754999999999999	3.35555555555555
WCP	3230	open	B	1.6	1	7.0587	7.7317	0.673	29.9111111111111
WCP	3230	open	B	1.6	2	7.0636	7.2219	0.1583	7.03555555555554
WCP	3230	open	C	1.4	1	7.0699	7.2741	0.2042	9.07555555555556
WCP	3230	open	C	1.4	2	7.064	7.4561	0.3921	17.4266666666667
WCP	3230	lit	A	1.3	1	7.0589	7.3095	0.250599999999999	11.1377777777778
WCP	3230	lit	A	1.3	2	7.0539	8.1344	1.0805	48.0222222222222
WCP	3230	lit	B	0.6	1	7.0573	8.2084	1.1511	51.16
WCP	3230	lit	B	0.6	2	7.0575	8.5733	1.5158	67.3688888888889
WCP	3230	lit	C	1.2	1	7.0568	12.9911	5.9343	263.746666666667
WCP	3230	lit	C	1.2	2	7.3348	25.2328	17.898	795.466666666667
