lake samp repl depth cruc.num cruc.mass cruc.sed cruc.ash sed ash perc.OM boat.bag.num boat.bag.mass boat.bag.CPOM CPOM.ekman CPOM
WL open A 2 1 13.1339 16.1084 16.0627 2.9745 2.9288 1.53639267103715 27 1.6925 1.8544 0.1619 7.19555555555556
WL open B 2 2 12.6351 16.9807 16.7785 4.3456 4.1434 4.65298232695135 72 1.8084 2.204 0.3956 17.5822222222222
WL open C 2 3 13.0659 14.1274 14.0378 1.0615 0.971900000000002 8.44088553933104 57 1.7482 2.0725 0.3243 14.4133333333333
WL lit A 1.9 4 12.241 13.4951 13.3678 1.2541 1.1268 10.150705685352 28 1.9434 2.4342 0.4908 21.8133333333333
WL lit B 1.9 5 12.9951 14.9187 14.7305 1.9236 1.7354 9.78373882304015 53 1.8294 2.4063 0.5769 25.64
WL lit C 1.9 6 11.9876 13.2359 13.1089 1.2483 1.1213 10.1738364175279 66 1.8443 2.5529 0.7086 31.4933333333333
LPP open A 1 7 12.1973 13.1231 13.0049 0.925800000000001 0.807599999999999 12.7673363577448 4 7.1048 12.3407 5.2359 232.706666666667
LPP open B 1 8 12.5987 14.3463 14.1463 1.7476 1.5476 11.4442664225223 5 7.0473 9.0054 1.9581 87.0266666666667
LPP open C 1 9 11.6665 13.0951 12.9363 1.4286 1.2698 11.1157776844464 6 7.1103 8.4776 1.3673 60.7688888888889
LPP lit A 1.1 10 12.9349 13.5505 13.4565 0.615599999999999 0.521599999999999 15.2696556205327 1 7.0334 36.5694 29.536 1312.71111111111
LPP lit B 1.1 11 11.888 12.7876 12.6797 0.8996 0.791700000000001 11.9942196531791 2 6.9891 12.7007 5.7116 253.848888888889
LPP lit C 1.1 12 11.7819 12.1739 12.12 0.391999999999999 0.338099999999999 13.7500000000001 3 7.1693 23.0556 15.8863 706.057777777778
