DATE,days,NUT,CPOM,NOx,NH3,P
12-Jun,2,0,C,0.017,0.0045,5e-04
12-Jun,2,0,0,2.6905,-0.032,0.011
12-Jun,2,0,0,2.8785,0.084,0.007
12-Jun,2,0,C,0.055,0.0455,0.012
12-Jun,2,0,0,0.7705,-0.0315,0.013
12-Jun,2,0,0,3.4285,-0.027,-0.002
12-Jun,2,0,C,0.0335,-0.018,0.004
12-Jun,2,0,C,-0.0165,-0.0145,0.008
12-Jun,2,N,0,3.451,-0.0775,0.0095
12-Jun,2,N,C,0,-0.0215,0.001
12-Jun,2,N,0,0.714,-0.087,0.012
12-Jun,2,N,C,-0.0125,-0.061,0.0035
12-Jun,2,N,C,0.049,0.0015,0.007
12-Jun,2,N,0,3.427,-0.083,0.006
12-Jun,2,N,0,0.8675,-0.0855,0.015
12-Jun,2,N,C,-0.045,0.1415,0.0305
17-Jun,7,0,C,0.708154,-0.022609,0.005091
17-Jun,7,0,0,0.050693,-0.020544,0.003672
17-Jun,7,0,0,0.069193,-0.021763,0.002336
17-Jun,7,0,C,-0.0658449999999999,-0.018468,0.000634000000000001
17-Jun,7,0,0,-0.615437,-0.046212,0.00197
17-Jun,7,0,0,0.050862,-0.038203,0.0028
17-Jun,7,0,C,-0.00856499999999998,-0.017785,0.000765999999999999
17-Jun,7,0,C,-0.388747,-0.016978,0.003956
17-Jun,7,N,0,0.046962,-0.023899,0.005736
17-Jun,7,N,C,0.360771,-0.032524,0.001517
17-Jun,7,N,0,-0.780481,-0.019951,-0.000248999999999999
17-Jun,7,N,C,0.276242,-0.014566,-0.002355
17-Jun,7,N,C,0.391547,-0.067644,0.000337999999999999
17-Jun,7,N,0,-0.767697,0.003362,0.010332
17-Jun,7,N,0,0.034037,-0.022142,0.010921
17-Jun,7,N,C,0.327361,-0.016415,-5.30000000000003e-05
24-Jun,14,0,C,-0.27132,-0.0140028571428571,-0.00107571428571428
24-Jun,14,0,0,-0.0450814285714286,-0.0104985714285714,0.000795
24-Jun,14,0,0,-0.17107,-0.0112128571428571,0.000902857142857143
24-Jun,14,0,C,0.00607714285714286,-0.00538,3.21428571428576e-05
24-Jun,14,0,0,0.000378571428571434,0.0350728571428571,0.006485
24-Jun,14,0,0,-0.204881428571429,0.000264285714285715,0.00133142857142857
24-Jun,14,0,C,-0.00475571428571428,-0.0117707142857143,-0.00126428571428571
24-Jun,14,0,C,0.00650428571428571,-0.00518142857142857,0.00175714285714286
24-Jun,14,N,0,-0.198882857142857,-0.00734357142857143,0.00494357142857143
24-Jun,14,N,C,-0.157124285714286,-0.01154,-2.71428571428565e-05
24-Jun,14,N,0,-0.0148014285714286,-0.0298457142857143,-0.00306285714285714
24-Jun,14,N,C,-0.00356714285714285,-0.0218642857142857,-0.00494928571428571
24-Jun,14,N,C,-0.199948571428571,-0.0204242857142857,-1.07142857142855e-05
24-Jun,14,N,0,-0.00646,-0.0166964285714286,-0.00274142857142857
24-Jun,14,N,0,-0.147457857142857,-0.021775,0.000393571428571429
24-Jun,14,N,C,-0.00601642857142857,-0.016195,-0.00191357142857143
1-Jul,21,0,C,-0.161465,0.000800714285714286,0.00142571428571429
1-Jul,21,0,0,-0.162822857142857,0.0204314285714286,0.00749857142857143
1-Jul,21,0,0,-0.164683571428571,0.015285,0.006695
1-Jul,21,0,C,-0.163715714285714,-0.00294071428571429,0.00167357142857143
1-Jul,21,0,0,-0.173174285714286,0.000477142857142858,-0.00167142857142857
1-Jul,21,0,0,-0.169115,-0.00503285714285714,0.00135285714285714
1-Jul,21,0,C,-0.166586428571429,-0.0153142857142857,-0.00361
1-Jul,21,0,C,-0.207712857142857,-0.00812714285714286,-0.00173642857142857
1-Jul,21,N,0,-0.209533571428571,-0.00499928571428571,0.00297857142857143
1-Jul,21,N,C,-0.201336428571429,0.00421928571428571,0.00142857142857143
1-Jul,21,N,0,-0.241,-0.00614428571428571,0.00272571428571429
1-Jul,21,N,C,-0.194457857142857,0.00459928571428571,-0.00147714285714286
1-Jul,21,N,C,-0.192020714285714,0.001095,0.00207571428571429
1-Jul,21,N,0,-0.19353,-0.0123992857142857,-0.00193571428571429
1-Jul,21,N,0,-0.199627142857143,-0.00772214285714286,0.000223571428571429
1-Jul,21,N,C,-0.194683571428571,0.001335,-4.85714285714286e-05
