Bottle_Number	Empty_Mass	Full_1	Full_2	Full_3	Full_4
1	10.27	19.8122	19.8128	19.812	19.8093
2	10.2411	19.7352	19.7117	19.721	19.7168
3	10.2805	19.8495	19.8341	19.8356	19.8384
4	10.2576	19.8113	19.814	19.8124	19.8187
5	10.2475	19.8257	19.7828	19.7905	19.7942
6	10.3	19.7942	19.7817	19.7872	19.7961
7	10.292	19.7737	19.6972	19.7342	19.7689
8	10.3061	19.8659	19.8281	19.8403	19.8603
9	10.2146	19.7498	19.7382	19.7396	19.7506
10	10.2499	19.8427	19.7816	19.7987	19.8142
11	10.2907	19.8587	19.8422	19.8459	19.8361
12	10.2634	19.7507	19.7301	19.7426	19.7494
13	10.3089	19.7966	19.7544	19.7854	19.7668
14	10.2061	19.6893	19.637	19.6593	19.677
15	10.2245	19.7805	19.7216	19.7647	19.7548
16	10.2881	19.823	19.7843	19.8192	19.7894
17	10.256	197971	19.7714	19.7794	19.7512
18	10.2686	19.8136	19.7938	19.7955	19.7848
19	10.1984	19.6997	19.6737	19.6714	19.6897
20	10.2459	19.7866	19.7504	19.7503	19.7766
