Lake	Sample	Site	Rep	Z	Cruc.mass	Cruc.sed	Cruc.ash	Date	Year
DL	Open	A	1	3.2	13.066	13.1649	13.0731	133	2013
DL	Open	A	2	3.2	12.2416	12.491	12.2588	133	2013
DL	Open	B	1	3.1	12.9962	13.1823	13.0386	133	2013
DL	Open	B	2	3.1	11.9882	12.1356	12.014	133	2013
DL	Open	C	1	1.9	13.1347	13.2448	13.1881	133	2013
DL	Open	C	2	1.9	12.636	12.7421	12.638	133	2013
DL	Littoral	A	1	1.5	13.065	13.2283	13.0901	133	2013
DL	Littoral	A	2	1.5	12.2414	12.4277	12.2943	133	2013
DL	Littoral	B	1	0.9	12.9946	13.1946	13.0231	133	2013
DL	Littoral	B	2	0.9	11.9891	12.4502	12.2124	133	2013
DL	Littoral	C	1	1.5	12.1974	12.3038	12.2051	133	2013
DL	Littoral	C	2	1.5	12.5996	12.6816	12.605	133	2013
WCP	Open	A	1	2.2	11.667	11.7528	11.6693	134	2013
WCP	Open	A	2	2.2	12.9362	12.9702	12.9381	134	2013
WCP	Open	B	1	1.6	11.8881	11.9901	11.8998	134	2013
WCP	Open	B	2	1.6	11.7819	11.9025	11.7901	134	2013
WCP	Open	C	1	1.4	13.1344	13.2419	13.1725	134	2013
WCP	Open	C	2	1.4	12.6367	12.8079	12.717	134	2013
WCP	Littoral	A	1	1.3	13.0674	13.1416	13.0769	134	2013
WCP	Littoral	A	2	1.3	12.2409	12.3338	12.2506	134	2013
WCP	Littoral	B	1	0.6	12.9977	13.1435	13.0369	134	2013
WCP	Littoral	B	2	0.6	11.9883	13.1653	12.0411	134	2013
WCP	Littoral	C	1	1.2	12.1974	12.4681	12.2671	134	2013
WCP	Littoral	C	2	1.2	12.5997	12.895	12.6718	134	2013
LPP	Littoral	A	1	1.1	13.1324	14.2906	13.2501	79	2013
LPP	Littoral	A	2	1.1	12.6352	13.7191	12.7528	79	2013
LPP	Littoral	A	3	1.1	13.0656	13.951	13.1516	79	2013
LPP	Open	A	1	1	12.2414	12.8805	12.2902	79	2013
LPP	Open	A	2	1	12.9957	13.8358	13.0794	79	2013
LPP	Open	A	3	1	11.9881	12.4456	12.0254	79	2013
WL	Littoral	A	1	1.9	12.1975	12.4594	12.2302	51	2013
WL	Littoral	A	2	1.9	12.5992	12.9492	12.6538	51	2013
WL	Littoral	A	3	1.9	11.6667	11.9706	11.7319	51	2013
WL	Open	A	2	2	12.9352	13.1875	13.0307	51	2013
WL	Open	A	3	2	11.8886	12.1512	11.9597	51	2013
WL	Open	B	1	1.9	11.7819	12.0806	11.9202	58	2013
WL	Open	B	2	1.9	13.1348	13.2421	13.1487	58	2013
WL	Open	B	3	1.9	12.6358	12.8822	12.7164	58	2013
