lake	date	julian	sa	depth	location	site	rep	CPOM.empty	CPOM.full	CPOM.cruc.num	CPOM.cruc.empty	CPOM.cruc.full	CPOM.cruc.ash	sed.empty	sed.full	sed.cruc.num	sed.cruc.empty	sed.cruc.full	sed.cruc.ash	CPOM.mass.ekman	CPOM.mass	CPOM.AFDM.dry	CPOM.AFDM.ash	CPOM.propOM	CPOM.AFDM	sed.LOI.dry	sed.LOI.ash	sed.propOM
WL	2/20/13	51	194760	1.9	littoral	A	1	1.9434	2.4342	7	12.1975	12.4594	12.2302	13.1875	14.6559	4	12.241	13.4951	13.3678	0.4908	0.011043	0.261900000000001	0.0327000000000002	0.875143184421535	0.00966420618556701	1.2541	1.1268	0.10150705685352
WL	2/20/13	51	194760	1.9	littoral	B	1	1.8294	2.4063	8	12.5993	12.9492	12.6538	13.2355	15.4142	5	12.9951	14.9187	14.7305	0.5769	0.01298025	0.3499	0.0545000000000009	0.84424121177479	0.0109584619891397	1.9236	1.7354	0.0978373882304015
WL	2/20/13	51	194760	1.9	littoral	C	1	1.8443	2.5529	9	11.6667	11.9706	11.7319	13.3609	14.6483	6	11.9876	13.2359	13.1089	0.7086	0.0159435	0.303899999999999	0.065199999999999	0.785455742020404	0.0125229136229023	1.2483	1.1213	0.101738364175279
WL	2/20/13	51	194760	2	open	A	1	1.6925	1.8544	NA	NA	NA	NA	13.2247	19.7701	1	13.1339	16.1084	16.0627	0.1619	0.00364275	NA	NA	NA	NA	2.9745	2.9288	0.0153639267103715
WL	2/20/13	51	194760	2	open	B	1	1.8084	2.204	10	12.9352	13.1875	13.0307	13.2464	20.0185	2	12.6351	16.9807	16.7785	0.3956	0.008901	0.2523	0.0954999999999995	0.621482362267144	0.00553181450653985	4.3456	4.1434	0.0465298232695135
WL	2/20/13	51	194760	2	open	C	1	1.7482	2.0725	11	11.8886	12.1512	11.9597	13.3428	14.8875	3	13.0659	14.1274	14.0378	0.3243	0.00729675	0.262599999999999	0.0710999999999995	0.72924600152323	0.00532112576161463	1.0615	0.971900000000002	0.0844088553933104
WL	2/20/13	51	194760	2	open	D	1	1.7412	2.0543	12	11.7819	12.0806	11.9202	NA	NA	NA	NA	NA	NA	0.3131	0.00704475	0.2987	0.138299999999999	0.536993639102782	0.00378298593906932	NA	NA	NA
WL	2/20/13	51	194760	2	open	E	1	1.8689	2.0235	1	13.1348	13.2421	13.1487	NA	NA	NA	NA	NA	NA	0.1546	0.0034785	0.1073	0.0138999999999996	0.870456663560116	0.00302788350419386	NA	NA	NA
WL	2/20/13	51	194760	2	open	F	1	1.7231	3.3596	2	12.6358	12.8822	12.7164	NA	NA	NA	NA	NA	NA	1.6365	0.03682125	0.2464	0.0806000000000004	0.672889610389608	0.0247766365665583	NA	NA	NA
WL	2/27/13	58	194760	1.9	open	G	1	1.7231	3.0698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3467	0.03030075	NA	NA	NA	NA	NA	NA	NA
WL	2/27/13	58	194760	1.9	open	H	1	1.8689	2.0991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2302	0.0051795	NA	NA	NA	NA	NA	NA	NA
WL	2/27/13	58	194760	1.9	open	I	1	1.7412	3.3927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6515	0.03715875	NA	NA	NA	NA	NA	NA	NA
LPP	3/20/13	79	1395	1.1	littoral	A	1	7.0334	36.5694	1	13.1324	14.2906	13.2501	13.2644	14.0344	10	12.9349	13.5505	13.4565	29.536	0.66456	1.1582	0.117699999999999	0.898376791573131	0.59702528060784	0.615599999999999	0.521599999999999	0.152696556205327
LPP	3/20/13	79	1395	1.1	littoral	B	1	6.9891	12.7007	2	12.6352	13.7197	12.7528	13.293	14.3301	11	11.888	12.7876	12.6797	5.7116	0.128511	1.0845	0.117600000000001	0.891562932226831	0.114575643983402	0.8996	0.791700000000001	0.119942196531791
LPP	3/20/13	79	1395	1.1	littoral	C	1	7.1693	23.0556	3	13.0656	13.951	13.1516	13.2102	13.7273	12	11.7819	12.1739	12.12	15.8863	0.35744175	0.885400000000001	0.0860000000000003	0.902868759882539	0.322722989552744	0.391999999999999	0.338099999999999	0.137500000000001
LPP	3/20/13	79	1395	1	open	A	1	7.1048	12.3407	4	12.2414	12.8805	12.2902	13.2918	14.3521	7	12.1973	13.1231	13.0049	5.2359	0.11780775	0.639099999999999	0.0488	0.923642622437803	0.108812259153497	0.925800000000001	0.807599999999999	0.127673363577448
LPP	3/20/13	79	1395	1	open	B	1	7.0473	9.0054	5	12.9957	13.8358	13.0794	13.3406	15.7327	8	12.5987	14.3463	14.1463	1.9581	0.04405725	0.840100000000001	0.0837000000000003	0.900369003690037	0.0396677822878229	1.7476	1.5476	0.114442664225223
LPP	3/20/13	79	1395	1	open	C	1	7.1103	8.4776	6	11.9881	12.4456	12.0254	13.3605	15.2533	9	11.6665	13.0951	12.9363	1.3673	0.03076425	0.457500000000001	0.0373000000000001	0.918469945355191	0.0282560390163935	1.4286	1.2698	0.111157776844464
