lake	date	julian	sa	depth	location	site	rep	CPOM.empty	CPOM.full	CPOM.cruc.num	CPOM.cruc.empty	CPOM.cruc.full	CPOM.cruc.ash	sed.empty	sed.full	sed.cruc.num	sed.cruc.empty	sed.cruc.full	sed.cruc.ash
WL	2/20/13	51	194760	1.9	littoral	A	1	1.9434	2.4342	7	12.1975	12.4594	12.2302	13.1875	14.6559	4	12.241	13.4951	13.3678
WL	2/20/13	51	194760	1.9	littoral	B	1	1.8294	2.4063	8	12.5993	12.9492	12.6538	13.2355	15.4142	5	12.9951	14.9187	14.7305
WL	2/20/13	51	194760	1.9	littoral	C	1	1.8443	2.5529	9	11.6667	11.9706	11.7319	13.3609	14.6483	6	11.9876	13.2359	13.1089
WL	2/20/13	51	194760	2	open	A	1	1.6925	1.8544					13.2247	19.7701	1	13.1339	16.1084	16.0627
WL	2/20/13	51	194760	2	open	B	1	1.8084	2.204	10	12.9352	13.1875	13.0307	13.2464	20.0185	2	12.6351	16.9807	16.7785
WL	2/20/13	51	194760	2	open	C	1	1.7482	2.0725	11	11.8886	12.1512	11.9597	13.3428	14.8875	3	13.0659	14.1274	14.0378
WL	2/20/13	51	194760	2	open	D	1	1.7412	2.0543	12	11.7819	12.0806	11.9202						
WL	2/20/13	51	194760	2	open	E	1	1.8689	2.0235	1	13.1348	13.2421	13.1487						
WL	2/20/13	51	194760	2	open	F	1	1.7231	3.3596	2	12.6358	12.8822	12.7164						
WL	2/27/13	58	194760	1.9	open	G	1	1.7231	3.0698										
WL	2/27/13	58	194760	1.9	open	H	1	1.8689	2.0991										
WL	2/27/13	58	194760	1.9	open	I	1	1.7412	3.3927										
LPP	3/20/13	79	1395	1.1	littoral	A	1	7.0334	36.5694	1	13.1324	14.2906	13.2501	13.2644	14.0344	10	12.9349	13.5505	13.4565
LPP	3/20/13	79	1395	1.1	littoral	B	1	6.9891	12.7007	2	12.6352	13.7197	12.7528	13.293	14.3301	11	11.888	12.7876	12.6797
LPP	3/20/13	79	1395	1.1	littoral	C	1	7.1693	23.0556	3	13.0656	13.951	13.1516	13.2102	13.7273	12	11.7819	12.1739	12.12
LPP	3/20/13	79	1395	1	open	A	1	7.1048	12.3407	4	12.2414	12.8805	12.2902	13.2918	14.3521	7	12.1973	13.1231	13.0049
LPP	3/20/13	79	1395	1	open	B	1	7.0473	9.0054	5	12.9957	13.8358	13.0794	13.3406	15.7327	8	12.5987	14.3463	14.1463
LPP	3/20/13	79	1395	1	open	C	1	7.1103	8.4776	6	11.9881	12.4456	12.0254	13.3605	15.2533	9	11.6665	13.0951	12.9363
DP	5/13/13	133	5766	1.5	littoral	A	1	7.062	8.3886	3	13.065	13.2283	13.0901						
DP	5/13/13	133	5766	1.5	littoral	A	2	7.0642	8.5745	4	12.2414	12.4277	12.2943						
DP	5/13/13	133	5766	0.9	littoral	B	1	7.1773	25.9545	5	12.9946	13.1946	13.0231						
DP	5/13/13	133	5766	0.9	littoral	B	2	7.2978	53.8663	6	11.9891	12.4502	12.2124						
DP	5/13/13	133	5766	1.4	littoral	C	1	7.0605	9.0551	7	12.1974	12.3038	12.2051						
DP	5/13/13	133	5766	1.4	littoral	C	2	7.0561	8.3004	8	12.5996	12.6816	12.605						
DP	5/13/13	133	5766	3.2	open	A	1	7.0536	7.4395	3	13.066	13.1649	13.0731			1	13.1382	14.2488	14.0011
