Type	Location	Cruc.num	cruc.mass	cruc.sed	cruc.ash	dish.mass	dish.CPOM
Control	A	7	12.1979	12.9508	12.7003	7.0668	28.2017
Control	C	8	12.5994	12.9378	12.74	7.0565	7.8598
Control	D	9	11.6669	11.9796	11.7661	7.0657	7.7719
Control	E	10	12.9352	13.0506	12.9584	7.053	7.2084
Control	F	11	11.8885	11.9812	11.903	7.0646	7.1873
Control	G	12	11.7807	11.9033	11.8004	7.0593	7.2171
Control	H	1	13.1501	13.3757	13.2073	7.0661	7.3486
Control	I	2	12.6365	12.8724	12.7046	7.0604	8.2233
Control	J	3	13.0669	13.9546	13.539	7.0585	28.7722
Treatment	A	1	13.1347	14.1249	13.584	7.0596	22.1489
Treatment	B	2	12.6373	13.8395	13.3024	7.0619	16.9053
Treatment	C	3	13.0637	13.4586	13.2424	7.0553	7.4857
Treatment	D	4	12.242	13.2084	12.9562	7.0612	8.5417
Treatment	E	5	12.598	13.0891	12.994	7.0619	7.1967
Treatment	F	6	11.9896	12.1199	12.0058	7.0651	7.2291
Treatment	G	7	12.199	12.2221	12.203	7.0608	7.1302
Treatment	H	8	12.5993	12.724	12.6135	7.0463	7.5194
Treatment	I	9	11.6679	12.1624	11.839	7.0563	11.6227
Treatment	J	10	12.9346	14.1867	13.8499	7.0586	32.7218
