Lake	Sample	Site	Rep	Z	cruc.mass	cruc.sed	cruc.ash	dish.bag.mass	dish.bag.OM	CPOM.ekman	CPOM	sa	Date	Year
DL	Open	A	1	3.2	13.066	13.1649	13.0731	7.0536	7.4395	0.3859	17.15111	5766	133	2013
DL	Open	A	2	3.2	12.2416	12.491	12.2588	7.0629	7.7112	0.6483	28.81333	5766	133	2013
DL	Open	B	1	3.1	12.9962	13.1823	13.0386	7.0574	7.5408	0.4834	21.484444	5766	133	2013
DL	Open	B	2	3.1	11.9882	12.1356	12.014	7.06	7.5414	0.4814	21.395556	5766	133	2013
DL	Open	C	1	1.9	13.1347	13.2448	13.1881	7.0584	7.3178	0.2594	11.5288889	5766	133	2013
DL	Open	C	2	1.9	12.636	12.7421	12.638	7.0614	7.2328	0.1714	7.6177778	5766	133	2013
DL	Littoral	A	1	1.5	13.065	13.2283	13.0901	7.062	8.3886	1.3266	58.96	5766	133	2013
DL	Littoral	A	2	1.5	12.2414	12.4277	12.2943	7.0642	8.5745	1.5103	67.124444	5766	133	2013
DL	Littoral	B	1	0.9	12.9946	13.1946	13.0231	7.1773	25.9545	18.7772	834.542222	5766	133	2013
DL	Littoral	B	2	0.9	11.9891	12.4502	12.2124	7.2978	53.8663	46.5685	2069.711111	5766	133	2013
DL	Littoral	C	1	1.5	12.1974	12.3038	12.2051	7.0605	9.0551	1.9946	88.648889	5766	133	2013
DL	Littoral	C	2	1.5	12.5996	12.6816	12.605	7.0561	8.3004	1.2443	55.3022222	5766	133	2013
WC	Open	A	1	2.2	11.667	11.7528	11.6693	7.0451	7.2934	0.2483	11.03556	3230	134	2013
WC	Open	A	2	2.2	12.9362	12.9702	12.9381	7.0563	7.1318	0.0755	3.355556	3230	134	2013
WC	Open	B	1	1.6	11.8881	11.9901	11.8998	7.0587	7.7317	0.673	29.911111	3230	134	2013
WC	Open	B	2	1.6	11.7819	11.9025	11.7901	7.0636	7.2219	0.1583	7.0355556	3230	134	2013
WC	Open	C	1	1.4	13.1344	13.2419	13.1725	7.0699	7.2741	0.2042	9.0755556	3230	134	2013
WC	Open	C	2	1.4	12.6367	12.8079	12.717	7.064	7.4561	0.3921	17.426667	3230	134	2013
WC	Littoral	A	1	1.3	13.0674	13.1416	13.0769	7.0589	7.3095	0.2506	11.137778	3230	134	2013
WC	Littoral	A	2	1.3	12.2409	12.3338	12.2506	7.0539	8.1344	1.0805	48.02222	3230	134	2013
WC	Littoral	B	1	0.6	12.9977	13.1435	13.0369	6.0573	8.2084	1.1511	51.16	3230	134	2013
WC	Littoral	B	2	0.6	11.9883	13.1653	12.0411	6.0575	8.5733	1.5158	67.368889	3230	134	2013
WC	Littoral	C	1	1.2	12.1974	12.4681	12.2671	7.0568	12.9911	5.9343	263.746667	3230	134	2013
WC	Littoral	C	2	1.2	12.5997	12.895	12.6718	7.3348	25.2328	17.898	795.466667	3230	134	2013
LPP	Littoral	A	1	1.1	13.1324	14.2906	13.2501	7.0334	36.5694	29.536	1312.71111	1395	79	2013
LPP	Littoral	A	2	1.1	12.6352	13.7191	12.7528	6.9891	12.7007	5.7116	253.848889	1395	79	2013
LPP	Littoral	A	3	1.1	13.0656	13.951	13.1516	7.1693	23.0556	15.8863	706.057778	1395	79	2013
LPP	Open	A	1	1	12.2414	12.8805	12.2902	7.1048	12.3407	5.2359	232.706667	1395	79	2013
LPP	Open	A	2	1	12.9957	13.8358	13.0794	7.0473	9.0054	1.9581	87.026667	1395	79	2013
LPP	Open	A	3	1	11.9881	12.4456	12.0254	7.1103	8.4776	1.3673	60.768889	1395	79	2013
WL	Littoral	A	1	1.9	12.1975	12.4594	12.2302	1.9434	2.4342	0.4908	21.813333	194760	51	2013
WL	Littoral	A	2	1.9	12.5992	12.9492	12.6538	1.8294	2.4063	0.5769	25.64	194760	51	2013
WL	Littoral	A	3	1.9	11.6667	11.9706	11.7319	1.8443	2.5529	0.7086	31.493333	194760	51	2013
WL	Open	A	2	2	12.9352	13.1875	13.0307	1.8084	2.204	0.3956	17.582222	194760	51	2013
WL	Open	A	3	2	11.8886	12.1512	11.9597	1.7482	2.0725	0.03243	14.413333	194760	51	2013
WL	Open	B	1	1.9	11.7819	12.0806	11.9202	1.7412	2.0543	0.3131	7.195556	194760	58	2013
WL	Open	B	2	1.9	13.1348	13.2421	13.1487	1.8689	2.0235	0.1546	6.8711111	194760	58	2013
WL	Open	B	3	1.9	12.6358	12.8822	12.7164	1.7231	3.3596	1.6365	72.73333333	194760	58	2013
