bod,vialT0,vialTF,CPOM,Nutrient,temp,pressure,time0,RmeasT0,timeF,RmeasTF,A,Replvol,BODwatervol
9,1,,no,no,25.5,29.82,2014-06-12 10:10,7.00,2014-06-12 15:32,,,,
12,3,,yes,no,25.5,29.82,2014-06-12 10:17,3.82,2014-06-12 15:35,,,,
5,5,,no,no,25.5,29.82,2014-06-12 10:26,5.85,2014-06-12 15:37,,,,
6,7,,yes,no,25.5,29.82,2014-06-12 10:35,4.37,2014-06-12 15:40,,,,
8,9,,no,no,25.5,29.82,2014-06-12 10:42,5.59,2014-06-12 15:43,,,,
1,11,,yes,no,25.5,29.82,2014-06-12 10:49,4.86,2014-06-12 15:45,,,,
13,13,,yes,no,25.5,29.82,2014-06-12 10:57,4.22,2014-06-12 15:49,,,,
3,15,,no,no,25.5,29.82,2014-06-12 11:05,6.96,2014-06-12 15:51,,,,
16,18,,yes,yes,25.5,29.82,2014-06-12 11:20,4.23,2014-06-12 15:54,,,,
10,20,,yes,yes,25.5,29.82,2014-06-12 11:25,4.30,2014-06-12 15:59,,,,
7,22,,no,yes,25.5,29.82,2014-06-12 11:31,5.27,2014-06-12 16:02,,,,
15,24,,no,yes,25.5,29.82,2014-06-12 11:37,6.35,2014-06-12 16:05,,,,
11,26,,yes,yes,25.5,29.82,2014-06-12 11:43,4.69,2014-06-12 16:07,,,,
14,28,,no,yes,25.5,29.82,2014-06-12 11:49,,2014-06-12 16:10,,,,
2,30,,no,yes,25.5,29.82,2014-06-12 11:55,7.55,2014-06-12 16:13,,,,
4,32,,yes,yes,25.5,29.82,2014-06-12 12:01,4.55,2014-06-12 16:16,,,,
