bod,vialT0,vialTF,CPOM,Nutrient,temp,pressure,time0,RmeasT0,timeF,RmeasTF,A,Replvol,BODwatervol
13,1,1,yes,no,23.4,30.06,2014-06-24 9:41,5.13,2014-06-24 14:52 ,3.35,0.0028,83,200
3,3,3,no,no,23.4,30.06,2014-06-24 9:50,6.01,2014-06-24 14:57,4.61,0.0028,83,200
8,5,5,no,no,23.4,30.06,2014-06-24 9:56,6.15,2014-06-24 15:00,4.82,0.0028,83,200
5,7,7,no,no,23.4,30.06,2014-06-24 10:04,6.61,2014-06-24 15:03,4.83,0.0028,63,200
1,9,9,yes,no,23.4,30.06,2014-06-24 10:10,6.19,2014-06-24 15:05,4.17,0.0028,83,200
9,11,11,no,no,23.4,30.06,2014-06-24 10:16,6.3,2014-06-24 15:07,4.97,0.0028,83,200
12,13,13,yes,no,23.4,30.06,2014-06-24 10:24,6.02,2014-06-24 15:10,4.31,0.0028,83,200
6,15,15,yes,no,23.4,30.06,2014-06-24 10:30,5.6,2014-06-24 15:12,4.2,0.0028,83,200
14,18,18,no,yes,23.4,30.06,2014-06-24 10:41,6.53,2014-06-24 15:14,4.97,0.0028,83,200
16,20,20,yes,yes,23.4,30.06,2014-06-24 10:49,5.76,2014-06-24 15:16,4.02,0.0028,83,200
7,22,22,no,yes,23.4,30.06,2014-06-24 10:55,6.05,2014-06-24 15:19,4.83,0.0028,83,200
4,24,24,yes,yes,23.4,30.06,2014-06-24 11:01,5.69,2014-06-24 15:22,4.55,0.0028,83,200
10,26,26,yes,yes,23.4,30.06,2014-06-24 11:09,6.17,2014-06-24 15:25,4,0.0028,83,200
15,28,28,no,yes,23.4,30.06,2014-06-24 11:14,6.1,2014-06-24 15:27,5.12,0.0028,83,200
2,30,30,no,yes,23.4,30.06,2014-06-24 11:21,6.05,2014-06-24 15:32,5.24,0.0028,83,200
11,32,32,yes,yes,23.4,30.06,2014-06-24 11:29,6.09,2014-06-24 15:34,4.68,0.0028,83,200
