bod,wl,abs
1,190,0.378
1,191,0.464
1,192,0.281
1,193,-0.063
1,194,-0.179
1,195,-0.013
1,196,0.348
1,197,0.461
1,198,0.417
1,199,-0.034
1,200,0.05
1,201,-0.043
1,202,-0.178
1,203,-0.213
1,204,-0.518
1,205,-0.329
1,206,0.024
1,207,0.291
1,208,0.486
1,209,0.028
1,210,-0.347
1,211,-0.498
1,212,-0.437
1,213,-0.187
1,214,-0.1
1,215,0.199
1,216,0.556
1,217,0.601
1,218,0.632
1,219,0.589
1,220,0.621
1,221,0.717
1,222,0.661
1,223,0.647
1,224,0.684
1,225,0.71
1,226,0.722
1,227,0.725
1,228,0.732
1,229,0.749
1,230,0.747
1,231,0.726
1,232,0.704
1,233,0.683
1,234,0.674
1,235,0.664
1,236,0.645
1,237,0.63
1,238,0.617
1,239,0.611
1,240,0.604
1,241,0.594
1,242,0.585
1,243,0.579
1,244,0.568
1,245,0.557
1,246,0.552
1,247,0.547
1,248,0.541
1,249,0.531
1,250,0.522
1,251,0.516
1,252,0.511
1,253,0.507
1,254,0.499
1,255,0.493
1,256,0.488
1,257,0.485
1,258,0.487
1,259,0.485
1,260,0.485
1,261,0.481
1,262,0.476
1,263,0.47
1,264,0.466
1,265,0.465
1,266,0.464
1,267,0.463
1,268,0.462
1,269,0.459
1,270,0.456
1,271,0.452
1,272,0.45
1,273,0.448
1,274,0.445
1,275,0.44
1,276,0.436
1,277,0.432
1,278,0.428
1,279,0.423
1,280,0.42
1,281,0.415
1,282,0.41
1,283,0.403
1,284,0.397
1,285,0.391
1,286,0.385
1,287,0.379
1,288,0.372
1,289,0.365
1,290,0.361
1,291,0.355
1,292,0.347
1,293,0.341
1,294,0.336
1,295,0.333
1,296,0.328
1,297,0.324
1,298,0.319
1,299,0.315
1,300,0.31
1,301,0.305
1,302,0.302
1,303,0.298
1,304,0.295
1,305,0.291
1,306,0.288
1,307,0.285
1,308,0.282
1,309,0.279
1,310,0.276
1,311,0.273
1,312,0.27
1,313,0.268
1,314,0.265
1,315,0.263
1,316,0.261
1,317,0.258
1,318,0.256
1,319,0.253
1,320,0.251
1,321,0.247
1,322,0.244
1,323,0.241
1,324,0.238
1,325,0.237
1,326,0.235
1,327,0.232
1,328,0.229
1,329,0.226
1,330,0.223
1,331,0.221
1,332,0.219
1,333,0.216
1,334,0.212
1,335,0.208
1,336,0.206
1,337,0.204
1,338,0.202
1,339,0.199
