bod,wl,abs
1,190,0.224
1,191,0.177
1,192,-0.034
1,193,-0.485
1,194,-0.503
1,195,-0.116
1,196,0.489
1,197,0.438
1,198,-0.051
1,199,-0.106
1,200,-0.204
1,201,0.028
1,202,0.08
1,203,-0.11
1,204,-0.103
1,205,-0.499
1,206,-0.578
1,207,-0.522
1,208,-0.395
1,209,-0.083
1,210,-0.032
1,211,-0.003
1,212,0.097
1,213,0.127
1,214,-0.024
1,215,-0.237
1,216,-0.253
1,217,0.004
1,218,0.199
1,219,0.259
1,220,0.211
1,221,0.196
1,222,0.182
1,223,0.178
1,224,0.198
1,225,0.197
1,226,0.195
1,227,0.193
1,228,0.193
1,229,0.196
1,230,0.191
1,231,0.186
1,232,0.18
1,233,0.174
1,234,0.17
1,235,0.165
1,236,0.165
1,237,0.163
1,238,0.161
1,239,0.156
1,240,0.153
1,241,0.153
1,242,0.153
1,243,0.153
1,244,0.15
1,245,0.148
1,246,0.148
1,247,0.147
1,248,0.145
1,249,0.142
1,250,0.139
1,251,0.138
1,252,0.137
1,253,0.135
1,254,0.135
1,255,0.134
1,256,0.133
1,257,0.131
1,258,0.13
1,259,0.13
1,260,0.129
1,261,0.128
1,262,0.127
1,263,0.125
1,264,0.125
1,265,0.124
1,266,0.123
1,267,0.12
1,268,0.119
1,269,0.118
1,270,0.118
1,271,0.116
1,272,0.114
1,273,0.112
1,274,0.111
1,275,0.111
1,276,0.109
1,277,0.108
1,278,0.107
1,279,0.105
1,280,0.103
1,281,0.101
1,282,0.1
1,283,0.098
1,284,0.096
1,285,0.095
1,286,0.093
1,287,0.092
1,288,0.091
1,289,0.089
1,290,0.088
1,291,0.086
1,292,0.086
1,293,0.084
1,294,0.083
1,295,0.083
1,296,0.082
1,297,0.082
1,298,0.08
1,299,0.077
1,300,0.075
1,301,0.074
1,302,0.074
1,303,0.073
1,304,0.071
1,305,0.069
1,306,0.068
1,307,0.067
1,308,0.066
1,309,0.067
1,310,0.066
1,311,0.065
1,312,0.063
1,313,0.062
1,314,0.062
1,315,0.061
1,316,0.06
1,317,0.058
1,318,0.058
1,319,0.058
1,320,0.057
1,321,0.056
1,322,0.054
1,323,0.053
1,324,0.052
1,325,0.052
1,326,0.05
1,327,0.049
1,328,0.05
1,329,0.05
1,330,0.05
1,331,0.049
1,332,0.048
1,333,0.047
1,334,0.046
1,335,0.045
1,336,0.045
1,337,0.044
1,338,0.043
1,339,0.043
1,340,0.042
1,341,0.042
1,342,0.041
1,343,0.04
1,344,0.039
1,345,0.038
1,346,0.039
1,347,0.039
1,348,0.039
1,349,0.038
1,350,0.037
1,351,0.037
1,352,0.036
1,353,0.034
1,354,0.034
1,355,0.034
1,356,0.034
1,357,0.033
1,358,0.033
1,359,0.033
1,360,0.032
1,361,0.031
1,362,0.03
1,363,0.029
1,364,0.029
1,365,0.028
1,366,0.028
1,367,0.028
1,368,0.028
1,369,0.028
1,370,0.028
1,371,0.027
1,372,0.026
1,373,0.026
1,374,0.025
1,375,0.023
1,376,0.024
1,377,0.024
1,378,0.024
1,379,0.024
1,380,0.023
1,381,0.024
1,382,0.022
1,383,0.021
1,384,0.021
1,385,0.021
1,386,0.021
1,387,0.02
1,388,0.019
1,389,0.019
1,390,0.02
1,391,0.019
1,392,0.019
1,393,0.019
1,394,0.019
1,395,0.018
1,396,0.016
1,397,0.016
1,398,0.016
1,399,0.017
1,400,0.017
1,401,0.016
1,402,0.017
1,403,0.017
1,404,0.016
1,405,0.015
1,406,0.015
1,407,0.014
1,408,0.015
1,409,0.015
1,410,0.016
1,411,0.015
1,412,0.014
1,413,0.015
