bod,vial,CPOM,Nutrient,temp,pressure,timeF,RmeasTF
9,2,no,no,24.7,29.75,2014-06-13 9:55,6.19
12,4,yes,no,24.7,29.75,2014-06-13 9:55,2.75
5,6,no,no,24.7,29.75,2014-06-13 9:55,5.66
6,8,yes,no,24.7,29.75,2014-06-13 9:55,3.72
8,10,no,no,24.7,29.75,2014-06-13 9:55,5.12
1,12,yes,no,24.7,29.75,2014-06-13 9:55,3.71
13,14,yes,no,24.7,29.75,2014-06-13 9:55,4.13
3,16,no,no,24.7,29.75,2014-06-13 9:55,6.32
16,19,yes,yes,24.7,29.75,2014-06-13 9:55,3.26
10,21,yes,yes,24.7,29.75,2014-06-13 9:55,3.35
7,23,no,yes,24.7,29.75,2014-06-13 9:55,4.77
15,25,no,yes,24.7,29.75,2014-06-13 9:55,5.56
11,27,yes,yes,24.7,29.75,2014-06-13 9:55,3.44
14,29,no,yes,24.7,29.75,2014-06-13 9:55,7.46
2,31,no,yes,24.7,29.75,2014-06-13 9:55,7.64
4,33,yes,yes,24.7,29.75,2014-06-13 9:55,3.89
