bod,vial,CPOM,Nutrient,temp,pressure,timeF,RmeasTF,,
3,2,no,no,25.3,30.02,2014-06-18 9:50,5.19,,
5,4,no,no,25.3,30.02,2014-06-18 9:50,5.1,,
9,6,no,no,25.3,30.02,2014-06-18 9:50,4.36,,
12,8,yes,no,25.3,30.02,2014-06-18 9:50,4.57,,
6,10,yes,no,25.3,30.02,2014-06-18 9:50,4.56,,
1,12,yes,no,25.3,30.02,2014-06-18 9:50,5.32,,
13,14,yes,no,25.3,30.02,2014-06-18 9:50,5.12,,
8,16,no,no,25.3,30.02,2014-06-18 9:50,5.54,,
7,19,no,yes,25.3,30.02,2014-06-18 9:50,5.33,,
4,21,yes,yes,25.3,30.02,2014-06-18 9:50,3.88,,
16,23,yes,yes,25.3,30.02,2014-06-18 9:50,4.55,,
10,25,yes,yes,25.3,30.02,2014-06-18 9:50,2.98,,
11,27,yes,yes,25.3,30.02,2014-06-18 9:50,4.61,,
15,29,no,yes,25.3,30.02,2014-06-18 9:50,5.35,,
2,31,no,yes,25.3,30.02,2014-06-18 9:50,5.86,,
14,33,no,yes,25.3,30.02,2014-06-18 9:50,5.16,,
