bod,vial,CPOM,Nutrient,temp,pressure,timeF,RmeasTF,
8,2,no,no,25.2,29.84,2014-07-02 10:00,4.62,
6,4,yes,no,25.2,29.84,2014-07-02 10:00,5.16,
13,6,yes,no,25.2,29.84,2014-07-02 10:00,5.36,
3,8,no,no,25.2,29.84,2014-07-02 10:00,6.03,
12,10,yes,no,25.2,29.84,2014-07-02 10:00,5.88,
5,12,no,no,25.2,29.84,2014-07-02 10:00,6.05,
1,14,yes,no,25.2,29.84,2014-07-02 10:00,5.95,
9,16,no,no,25.2,29.84,2014-07-02 10:00,6.06,
7,19,no,yes,25.2,29.84,2014-07-02 10:00,6.23,
11,21,yes,yes,25.2,29.84,2014-07-02 10:00,5.65,
14,23,no,yes,25.2,29.84,2014-07-02 10:00,5.98,
16,25,yes,yes,25.2,29.84,2014-07-02 10:00,5.72,
2,27,no,yes,25.2,29.84,2014-07-02 10:00,6.16,
4,29,yes,yes,25.2,29.84,2014-07-02 10:00,5.75,
10,31,yes,yes,25.2,29.84,2014-07-02 10:00,5.30,
15,33,no,yes,25.2,29.84,2014-07-02 10:00,6.30,
