lake	sample	date_col	julian	year	bag	bag_leaf	days	cruc_num	cruc_empty	cruc_full	cruc_ash
Campus Pond	3	10/22/2013	295	2013	7.2786	11.5476	0	1	29.7347	33.8335	30.0405
Campus Pond	8	10/22/2013	295	2013	7.2767	11.8332	0	2	26.6492	31.0007	27.0132
Campus Pond	15	10/22/2013	295	2013	7.2325	11.6445	0	3	28.0725	32.4264	28.4316
Campus Pond	33	10/22/2013	295	2013	7.2359	11.8288	0	4	27.4836	31.9415	27.9132
Campus Pond	48	10/22/2013	295	2013	7.2467	11.7907	0	5	30.3772	34.6765	30.7363
Campus Pond	9	10/25/2013	298	2013	7.1055	10.8298	3	6	31.5117	34.9041	31.7471
Campus Pond	22	10/25/2013	298	2013	7.4814	10.6154	3	7	28.196	31.5648	28.452
Campus Pond	35	10/25/2013	298	2013	7.3065	10.818	3	8	28.9648	32.5073	29.174
Campus Pond	43	10/25/2013	298	2013	7.1285	10.9302	3	9	27.0787	30.6123	27.367
Campus Pond	67	10/25/2013	298	2013	7.0545	11.0964	3	10	29.747	33.5694	30.057
Campus Pond	17	10/29/2013	302	2013	7.2183	10.4394	7	11	26.5913	29.9408	26.8624
Campus Pond	26	10/29/2013	302	2013	7.3317	10.2217	7	12	28.1219	31.1523	28.3562
Campus Pond	38	10/29/2013	302	2013	7.2525	10.4962	7	13	29.7255	33.2091	29.9811
Campus Pond	51	10/29/2013	302	2013	7.2798	10.5647	7	14	28.2156	31.661	28.4619
Campus Pond	55	10/29/2013	302	2013	7.3236	10.7955	7	15	26.9885	30.6401	27.2992
Campus Pond	5	11/5/2013	309	2013	7.3471	10.702	15	1	29.7364	33.1168	29.9448
Campus Pond	14	11/5/2013	309	2013	7.2643	9.9518	15	2	26.6499	29.36	26.882
Campus Pond	25	11/5/2013	309	2013	7.3416	10.4174	15	3	28.0743	31.2019	28.3159
Campus Pond	49	11/5/2013	309	2013	7.255	10.6079	15	4	27.485	30.8768	27.8432
Campus Pond	68	11/5/2013	309	2013	7.2414	10.3012	15	5	30.3787	33.5067	30.6255
Campus Pond	11	11/12/2013	316	2013	7.2216	10.7339	21	6	31.512	35.1548	31.8449
Campus Pond	20	11/12/2013	316	2013	7.2121	10.3201	21	7	28.1973	31.3494	28.5379
Campus Pond	29	11/12/2013	316	2013	7.2348	10.1075	21	8	28.9657	31.9401	29.2432
Campus Pond	44	11/12/2013	316	2013	7.1653		21	9	27.079	30.3075	27.3618
Campus Pond	47	11/12/2013	316	2013	7.2018	10.183	21	10	29.7491	32.8475	29.9692
Campus Pond	18	11/19/2013	323	2013	7.2708	9.8982	28	1	29.7355	32.312	29.9756
Campus Pond	31	11/19/2013	323	2013	7.2233	9.8168	28	1	29.7355	32.6926	29.9586
Campus Pond	45	11/19/2013	323	2013	7.2481	10.7441	28	2	26.6487	29.5837	27.0859
Campus Pond	60	11/19/2013	323	2013	7.1873	10.3026	28	3	28.0737	30.9384	28.382
