Wavelength (nm),Absorbance,Title,Time
190,0.518,bod14_1jul,7/2/2014 1:46:56 PM
191,0.39,,
192,0.033,,
193,-0.44,,
194,-0.67,,
195,-0.394,,
196,-0.039,,
197,0.193,,
198,0.13,,
199,0.012,,
200,-0.148,,
201,-0.006,,
202,0.147,,
203,0.121,,
204,-0.154,,
205,-0.678,,
206,-0.719,,
207,-0.64,,
208,-0.349,,
209,-0.277,,
210,-0.345,,
211,-0.027,,
212,0.32,,
213,0.38,,
214,0.018,,
215,-0.241,,
216,-0.188,,
217,0.013,,
218,0.098,,
219,0.163,,
220,0.179,,
221,0.151,,
222,0.14,,
223,0.137,,
224,0.151,,
225,0.148,,
226,0.144,,
227,0.148,,
228,0.149,,
229,0.149,,
230,0.143,,
231,0.139,,
232,0.134,,
233,0.129,,
234,0.128,,
235,0.127,,
236,0.126,,
237,0.123,,
238,0.119,,
239,0.116,,
240,0.115,,
241,0.114,,
242,0.116,,
243,0.116,,
244,0.112,,
245,0.111,,
246,0.109,,
247,0.11,,
248,0.109,,
249,0.106,,
250,0.104,,
251,0.103,,
252,0.103,,
253,0.103,,
254,0.103,,
255,0.101,,
256,0.099,,
257,0.098,,
258,0.097,,
259,0.098,,
260,0.097,,
261,0.096,,
262,0.094,,
263,0.093,,
264,0.092,,
265,0.092,,
266,0.091,,
267,0.089,,
268,0.088,,
269,0.087,,
270,0.087,,
271,0.086,,
272,0.085,,
273,0.083,,
274,0.081,,
275,0.082,,
276,0.081,,
277,0.08,,
278,0.078,,
279,0.076,,
280,0.076,,
281,0.074,,
282,0.073,,
283,0.072,,
284,0.07,,
285,0.068,,
286,0.068,,
287,0.067,,
288,0.066,,
289,0.064,,
290,0.063,,
291,0.063,,
292,0.063,,
293,0.062,,
294,0.061,,
295,0.061,,
296,0.062,,
297,0.061,,
298,0.06,,
299,0.058,,
300,0.056,,
301,0.055,,
302,0.054,,
303,0.053,,
304,0.051,,
305,0.05,,
306,0.05,,
307,0.05,,
308,0.049,,
309,0.048,,
310,0.048,,
311,0.048,,
312,0.046,,
313,0.045,,
314,0.045,,
315,0.045,,
316,0.044,,
317,0.042,,
318,0.042,,
319,0.042,,
320,0.041,,
321,0.041,,
322,0.04,,
323,0.039,,
324,0.039,,
325,0.039,,
326,0.038,,
327,0.036,,
328,0.036,,
329,0.037,,
330,0.038,,
331,0.037,,
332,0.035,,
333,0.034,,
334,0.034,,
335,0.033,,
336,0.033,,
337,0.032,,
338,0.032,,
339,0.032,,
340,0.031,,
341,0.031,,
342,0.03,,
343,0.029,,
344,0.028,,
345,0.028,,
346,0.029,,
347,0.029,,
348,0.029,,
349,0.028,,
350,0.027,,
351,0.026,,
352,0.025,,
353,0.024,,
354,0.024,,
355,0.024,,
356,0.024,,
357,0.024,,
358,0.024,,
359,0.024,,
360,0.022,,
361,0.022,,
362,0.021,,
363,0.021,,
364,0.021,,
365,0.02,,
366,0.02,,
367,0.02,,
368,0.02,,
369,0.02,,
370,0.02,,
371,0.019,,
372,0.018,,
373,0.018,,
374,0.018,,
375,0.017,,
376,0.017,,
377,0.018,,
378,0.018,,
379,0.017,,
380,0.016,,
381,0.017,,
382,0.016,,
383,0.015,,
