Wavelength (nm),Absorbance,Title,Time
190,0.363,bod15_10jun,6/13/2014 3:29:03 PM
191,0.459,,
192,0.407,,
193,0.115,,
194,0.08,,
195,0.378,,
196,0.605,,
197,0.47,,
198,0.363,,
199,-0.119,,
200,-0.413,,
201,-0.531,,
202,-0.3,,
203,0.058,,
204,0.092,,
205,0.036,,
206,-0.001,,
207,-0.119,,
208,-0.11,,
209,-0.183,,
210,-0.308,,
211,-0.133,,
212,-0.063,,
213,0.041,,
214,-0.099,,
215,-0.223,,
216,-0.037,,
217,0.258,,
218,0.455,,
219,0.434,,
220,0.341,,
221,0.269,,
222,0.291,,
223,0.316,,
224,0.315,,
225,0.317,,
226,0.312,,
227,0.309,,
228,0.3,,
229,0.292,,
230,0.279,,
231,0.267,,
232,0.253,,
233,0.241,,
234,0.231,,
235,0.221,,
236,0.21,,
237,0.201,,
238,0.194,,
239,0.191,,
240,0.189,,
241,0.184,,
242,0.181,,
243,0.178,,
244,0.174,,
245,0.17,,
246,0.167,,
247,0.166,,
248,0.166,,
249,0.163,,
250,0.16,,
251,0.158,,
252,0.157,,
253,0.156,,
254,0.154,,
255,0.151,,
256,0.151,,
257,0.15,,
258,0.15,,
259,0.149,,
260,0.148,,
261,0.147,,
262,0.145,,
263,0.142,,
264,0.14,,
265,0.139,,
266,0.138,,
267,0.138,,
268,0.137,,
269,0.136,,
270,0.134,,
271,0.131,,
272,0.129,,
273,0.128,,
274,0.127,,
275,0.126,,
276,0.124,,
277,0.123,,
278,0.121,,
279,0.12,,
280,0.119,,
281,0.117,,
282,0.116,,
283,0.114,,
284,0.111,,
285,0.109,,
286,0.108,,
287,0.107,,
288,0.105,,
289,0.104,,
290,0.103,,
291,0.101,,
292,0.098,,
293,0.096,,
294,0.095,,
295,0.095,,
296,0.095,,
297,0.094,,
298,0.094,,
299,0.092,,
300,0.089,,
301,0.086,,
302,0.085,,
303,0.085,,
304,0.085,,
305,0.084,,
306,0.083,,
307,0.083,,
308,0.081,,
309,0.08,,
310,0.078,,
311,0.077,,
312,0.076,,
313,0.076,,
314,0.074,,
315,0.074,,
316,0.073,,
317,0.072,,
318,0.071,,
319,0.071,,
320,0.07,,
321,0.069,,
322,0.067,,
323,0.066,,
324,0.066,,
325,0.066,,
326,0.065,,
327,0.065,,
328,0.063,,
329,0.062,,
330,0.062,,
331,0.062,,
332,0.062,,
333,0.061,,
334,0.059,,
335,0.057,,
336,0.057,,
337,0.058,,
338,0.057,,
339,0.057,,
340,0.055,,
341,0.054,,
342,0.054,,
343,0.054,,
344,0.053,,
345,0.052,,
346,0.051,,
347,0.05,,
348,0.049,,
349,0.048,,
350,0.047,,
351,0.046,,
352,0.046,,
353,0.046,,
354,0.045,,
355,0.044,,
356,0.043,,
357,0.044,,
358,0.045,,
359,0.045,,
360,0.045,,
361,0.043,,
362,0.041,,
363,0.04,,
364,0.039,,
365,0.039,,
366,0.038,,
367,0.037,,
368,0.037,,
369,0.036,,
370,0.036,,
371,0.036,,
372,0.035,,
373,0.034,,
374,0.034,,
375,0.033,,
376,0.034,,
377,0.032,,
378,0.032,,
379,0.031,,
380,0.031,,
381,0.031,,
382,0.029,,
383,0.028,,
384,0.027,,
385,0.028,,
386,0.029,,
387,0.029,,
388,0.027,,
389,0.026,,
390,0.025,,
391,0.026,,
392,0.026,,
393,0.026,,
394,0.026,,
395,0.026,,
396,0.025,,
397,0.023,,
398,0.022,,
399,0.022,,
400,0.022,,
401,0.022,,
402,0.021,,
403,0.022,,
404,0.022,,
405,0.021,,
406,0.02,,
407,0.02,,
408,0.02,,
409,0.02,,
410,0.018,,
411,0.019,,
412,0.019,,
413,0.019,,
414,0.018,,
415,0.017,,
416,0.018,,
417,0.019,,
418,0.018,,
419,0.017,,
420,0.016,,
421,0.017,,
422,0.016,,
423,0.016,,
424,0.015,,
425,0.015,,
426,0.016,,
427,0.015,,
428,0.015,,
429,0.015,,
430,0.015,,
431,0.014,,
432,0.013,,
433,0.013,,
434,0.013,,
435,0.014,,
436,0.013,,
437,0.013,,
438,0.013,,
439,0.012,,
440,0.012,,
441,0.012,,
442,0.011,,
443,0.011,,
444,0.01,,
445,0.011,,
446,0.011,,
447,0.011,,
448,0.01,,
449,0.01,,
450,0.01,,
451,0.009,,
452,0.01,,
453,0.01,,
454,0.01,,
455,0.01,,
456,0.01,,
457,0.01,,
458,0.01,,
459,0.01,,
460,0.01,,
461,0.009,,
462,0.008,,
463,0.008,,
464,0.009,,
465,0.009,,
466,0.008,,
467,0.008,,
468,0.009,,
469,0.009,,
470,0.009,,
471,0.008,,
472,0.008,,
473,0.009,,
474,0.009,,
475,0.009,,
476,0.008,,
477,0.007,,
478,0.007,,
479,0.007,,
480,0.007,,
481,0.007,,
482,0.008,,
483,0.008,,
484,0.007,,
485,0.006,,
486,0.006,,
487,0.007,,
488,0.007,,
489,0.007,,
490,0.006,,
491,0.006,,
492,0.006,,
493,0.006,,
494,0.006,,
495,0.006,,
496,0.006,,
497,0.006,,
498,0.006,,
499,0.006,,
500,0.006,,
501,0.005,,
502,0.004,,
503,0.005,,
504,0.006,,
505,0.006,,
506,0.006,,
507,0.007,,
508,0.007,,
509,0.007,,
510,0.006,,
511,0.005,,
512,0.004,,
513,0.004,,
514,0.005,,
515,0.005,,
516,0.005,,
517,0.005,,
518,0.005,,
519,0.004,,
520,0.003,,
521,0.004,,
522,0.004,,
523,0.004,,
524,0.004,,
525,0.004,,
526,0.004,,
527,0.004,,
528,0.005,,
529,0.005,,
530,0.004,,
531,0.004,,
532,0.004,,
533,0.004,,
534,0.003,,
535,0.004,,
536,0.004,,
537,0.004,,
538,0.004,,
539,0.003,,
540,0.003,,
541,0.003,,
542,0.003,,
543,0.004,,
544,0.004,,
545,0.003,,
546,0.002,,
547,0.003,,
548,0.003,,
549,0.003,,
550,0.003,,
551,0.003,,
552,0.003,,
553,0.003,,
554,0.003,,
555,0.003,,
556,0.002,,
557,0.002,,
558,0.003,,
559,0.004,,
560,0.003,,
561,0.002,,
562,0.001,,
563,0.001,,
564,0,,
565,0,,
566,0.001,,
567,0.001,,
568,0.001,,
569,0.002,,
570,0.002,,
571,0.001,,
572,0.003,,
573,0.004,,
574,0.004,,
575,0.001,,
576,0,,
577,0.001,,
578,0.002,,
579,0.002,,
580,0.002,,
581,0.003,,
582,0.002,,
583,0.001,,
584,0,,
585,0.002,,
586,0.003,,
587,0.003,,
588,0.001,,
589,0.001,,
590,0.003,,
591,0.002,,
592,0,,
593,0,,
594,0,,
595,0.001,,
596,0.001,,
597,0.001,,
598,0.001,,
599,0.002,,
600,0.002,,
601,0.001,,
602,0,,
603,0.001,,
604,0.001,,
605,0.001,,
606,0,,
607,0.001,,
608,0.003,,
609,0.003,,
610,0.002,,
611,0.001,,
612,0.002,,
613,0.002,,
614,0.002,,
615,0.002,,
616,0.003,,
617,0.002,,
618,0,,
619,-0.001,,
620,0.001,,
621,0.003,,
622,0.003,,
623,0.001,,
624,0,,
625,0.001,,
626,0.003,,
627,0.003,,
628,0.002,,
629,0,,
630,-0.001,,
631,-0.001,,
632,0,,
633,-0.001,,
634,0,,
635,0.001,,
636,0.001,,
637,0,,
638,0.001,,
639,0.002,,
640,0.002,,
641,0.001,,
642,-0.001,,
643,-0.002,,
644,0,,
645,0.001,,
646,0.002,,
647,0.001,,
648,0.001,,
649,0.001,,
650,0.002,,
651,0.003,,
652,0.003,,
653,0.002,,
654,0,,
655,-0.001,,
656,-0.001,,
657,0.001,,
658,0,,
659,0.001,,
660,0,,
661,0.001,,
662,0.001,,
663,0.001,,
664,0.001,,
665,0.001,,
666,0.001,,
667,0,,
668,0.001,,
669,0.002,,
670,0.001,,
671,0,,
672,0.002,,
673,0.003,,
674,0.002,,
675,0.001,,
676,0.001,,
677,0.002,,
678,0.002,,
679,0.001,,
680,0,,
681,0,,
682,0.001,,
683,-0.001,,
684,-0.001,,
685,-0.001,,
686,0,,
687,-0.001,,
688,-0.001,,
689,-0.002,,
690,-0.002,,
691,0,,
692,0.001,,
693,0.001,,
694,0.001,,
695,0.002,,
696,0.002,,
697,0.004,,
698,0.003,,
699,0.003,,
700,0.002,,
701,0.002,,
702,0.001,,
703,0.001,,
704,0.001,,
705,0.002,,
706,0.002,,
707,0,,
708,-0.001,,
709,-0.002,,
710,0,,
711,0.002,,
712,0.002,,
713,0.001,,
714,0.001,,
715,0,,
716,0,,
717,0.001,,
718,0.001,,
719,-0.001,,
720,-0.001,,
721,-0.001,,
722,0.001,,
723,0.001,,
724,0.001,,
725,0.002,,
726,0,,
727,0,,
728,-0.001,,
729,0,,
730,0.002,,
731,0.002,,
732,0,,
733,-0.002,,
734,0,,
735,0.001,,
736,0.001,,
737,0.002,,
738,0,,
739,-0.002,,
740,-0.003,,
741,-0.003,,
742,-0.003,,
743,-0.001,,
744,0.001,,
