bod,CPOM,nutrient,temp,DO.T0,DO.TF,dDO,waterR
9,no,no,24.7,0.269892756405952,0.243972658856938,0.0259200975490142,0.00109137252837954
12,yes,no,24.7,0.146698742092548,0.107069433533926,0.0396293085586224,0.00167683957229714
5,no,no,24.7,0.225200820626394,0.222862545283671,0.00233827534272293,9.9571696638308e-05
6,yes,no,24.7,0.17002684482246,0.146200010246862,0.0238268345755979,0.00102115005323991
8,no,no,24.7,0.215717866623641,0.200014160672118,0.0157037059515226,0.000676397959146701
1,yes,no,24.7,0.186849604385295,0.145943661600425,0.0409059427848701,0.00177082003397706
13,yes,no,24.7,0.16369175285571,0.162946928422321,0.000744824433389302,3.24306719908259e-05
3,no,no,24.7,0.268668565737691,0.248069804564969,0.0205987611727217,0.000902135525812629
16,yes,yes,24.7,0.162986151520642,0.128062812774784,0.0349233387458579,0.00154642090387563
10,yes,yes,24.7,0.16597582296541,0.130665466720123,0.0353103562452871,0.0015693491664572
7,no,yes,24.7,0.203453992786612,0.186964107494417,0.0164898852921947,0.00073615559340155
15,no,yes,24.7,0.246281400411268,0.216567229472699,0.0297141709385687,0.00133247403311967
11,yes,yes,24.7,0.181632814950746,0.134876602512321,0.0467562124384253,0.00210613569542456
14,no,yes,24.7,NA,0.293623169819632,NA,NA
2,no,yes,24.7,0.295135309106567,0.300130003724444,-0.0049946946178766,-0.000227031573539846
4,yes,yes,24.7,0.17711312212842,0.153354898432302,0.023758223696118,0.00108485039708301
