# Descriptions of Photos

Filename                         Date         Description
==========================================================
2013-12-18 11.41.22             18 Dec 2013    Bag 2
2013-12-18 11.42.28             18 Dec 2013    Bag 2
2013-12-18 11.44.16             18 Dec 2013    Bag 2
2013-12-18 12.06.05             18 Dec 2013    Bag 4
2013-12-18 12.06.37             18 Dec 2013    Bag 4
2013-12-18 12.07.32             18 Dec 2013    Bag 4
2013-12-18 12.21.22             18 Dec 2013    Bag 37
2013-12-18 12.23.08             18 Dec 2013    Bag 37
2013-12-18 12.23.51             18 Dec 2013    Bag 37
2013-12-18 12.38.02             18 Dec 2013    Bag 66
2013-12-18 12.38.59             18 Dec 2013    Bag 66
2013-12-18 12.40.56             18 Dec 2013    Bag 66
2013-12-18 12.49.17             18 Dec 2013    Bag 52
2013-12-20 16.44.49             20 Dec 2013    Bags in Campus Pond after draining
2013-12-29 16.24.12             29 Dec 2013    Bags in Campus Pond after refilling due to rain
